Subnat Geography ID,Subnat Geography,Trade Value,Ranking
44,Guangdong Province,32010009469,1
31,Shanghai Province,27460802748,2
11,Beijing,21203161312,3
32,Jiangsu Province,20215066279,4
37,Shandong Province,11332786721,5
33,Zhejiang Province,10944695768,6
35,Fujian Province,6769642064,7
41,Henan Province,5070281680,8
21,Liaoning Province,4565217427,9
51,Sichuan Province,4453574708,10
12,Tianjin,3128305232,11
50,Chongqing,2854283362,12
13,Hebei Province,2729375065,13
34,Anhui Province,2673353093,14
45,Guangxi Zhuang Autonomous Region,2545851713,15
42,Hubei Province,2419277519,16
43,Hunan Province,1828656225,17
61,Shaanxi Province,1573063148,18
22,Jilin Province,1549436598,19
23,Heilongjiang Province,1202947790,20
53,Yunnan Province,1079584152,21
36,Jiangxi Province,1043603077,22
15,Inner Mongolia Autonomous Region,895944275,23
14,Shanxi Province,776184166,24
46,Hainan Province,698023813,25
65,Xingjiang Uygur Autonomous Region,387304293,26
62,Gansu Province,287230431,27
52,Guizhou Province,140139796,28
64,Ningxia Hui Autonomous Region,41721494,29
54,Tibet Autonomous Region,13997634,30
63,Qinghai Province,2475174,31
